

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1222.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-misc\autoload\xolox\misc\cursorhold.vim
1222.000  026.000  025.000: sourcing C:\Users\sshen\.vim\bundle\vim-session\plugin\session.vim
1224.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-misc\plugin\xolox\misc.vim
1226.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\tlib_vim\plugin\02tlib.vim
1227.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\ack.vim\plugin\ack.vim
1228.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\plugin\NERD_tree.vim
1230.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-surround\plugin\surround.vim
1231.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\conflict-marker.vim\plugin\conflict_marker.vim
1232.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\auto-pairs\plugin\auto-pairs.vim
1234.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\ctrlp.vim\plugin\ctrlp.vim
1236.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\ctrlp-funky\plugin\funky.vim
1239.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-multiple-cursors\plugin\multiple_cursors.vim
1240.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\matchit.zip\plugin\matchit.vim
1242.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\plugin\airline.vim
1243.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline-themes\plugin\airline-themes.vim
1244.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-bufferline\plugin\bufferline.vim
1246.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-easymotion\plugin\EasyMotion.vim
1247.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\undotree\plugin\undotree.vim
1249.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-indent-guides\plugin\indent_guides.vim
1250.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\restore_view.vim\plugin\restore_view.vim
1252.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-signify\plugin\signify.vim
1254.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-abolish\plugin\abolish.vim
1256.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-over\plugin\over.vim
1257.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-indent\plugin\textobj\indent.vim
1259.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\wildfire.vim\plugin\wildfire.vim
1260.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-litecorrect\plugin\litecorrect.vim
